Season,BetType,Odds,P_Model,Won,Flat_P,Kelly_P,Kelly_S,Flat_S,League
2022,1,4.5,0.32426428924533157,0,-10.0,-32.799235828856574,32.799235828856574,10.0,Bundesliga
2022,X,4.5,0.26036702282246316,0,-10.0,-12.260828764363154,12.260828764363154,10.0,Bundesliga
2022,X,8.0,0.18902647826396693,1,70.0,128.05295652793384,18.29327950399055,10.0,Bundesliga
2022,1,7.0,0.2291862247355582,0,-10.0,-25.179315547871134,25.179315547871134,10.0,Bundesliga
2022,X,5.25,0.2447638964766092,1,42.5,71.25261412554957,16.765320970717546,10.0,Bundesliga
2022,2,3.75,0.3796210154600901,1,27.5,105.89470199383445,38.507164361394345,10.0,Bundesliga
2022,1,3.5,0.40564869998517245,1,25.0,104.94261248702591,41.97704499481036,10.0,Bundesliga
2022,X,4.5,0.2527213409786069,0,-10.0,-9.803288171695069,9.803288171695069,10.0,Bundesliga
2022,2,3.5,0.3772872615225675,0,-10.0,-32.05054153289861,32.05054153289861,10.0,Bundesliga
2022,1,3.6,0.35742059429031187,0,-10.0,-27.568667254338717,27.568667254338717,10.0,Bundesliga
2022,X,8.0,0.19902200518976607,1,70.0,148.04401037953212,21.149144339933162,10.0,Bundesliga
2022,1,17.0,0.26865071330142515,1,160.0,800.0,50.0,10.0,Bundesliga
2022,X,8.0,0.22845642374604225,0,-10.0,-29.558978213154926,29.558978213154926,10.0,Bundesliga
2022,X,5.0,0.2998643356356829,0,-10.0,-31.207604886150904,31.207604886150904,10.0,Bundesliga
2022,X,4.33,0.26434108551728297,1,33.3,36.149225072458826,10.85562314488253,10.0,Bundesliga
2022,2,3.1,0.35813937928909545,1,21.0,27.558018949048968,13.122866166213793,10.0,Bundesliga
2022,1,3.0,0.46149154948067284,1,20.0,96.11866211050463,48.059331055252315,10.0,Bundesliga
2022,2,3.8,0.29681375227572976,0,-10.0,-11.418951664979742,11.418951664979742,10.0,Bundesliga
2022,1,3.1,0.43230371062788103,0,-10.0,-40.49303606505133,40.49303606505133,10.0,Bundesliga
2022,X,6.0,0.1980742610476426,0,-10.0,-9.422278314292788,9.422278314292788,10.0,Bundesliga
2022,X,6.5,0.21139469546583922,0,-10.0,-17.00297820581613,17.00297820581613,10.0,Bundesliga
2022,2,3.6,0.33468490922602917,1,26.0,51.21641830342627,19.69862242439472,10.0,Bundesliga
2022,1,3.0,0.3647333830415944,0,-10.0,-11.775018640597906,11.775018640597906,10.0,Bundesliga
2022,X,4.5,0.23499309971504515,0,-10.0,-4.104924908407367,4.104924908407367,10.0,Bundesliga
2022,1,3.75,0.38879486684805165,1,27.5,114.49518767004841,41.63461369819942,10.0,Bundesliga
2022,1,4.33,0.441691485876464,0,-10.0,-50.0,50.0,10.0,Bundesliga
2022,2,3.6,0.3085235306981013,0,-10.0,-10.64276062626584,10.64276062626584,10.0,Bundesliga
2022,1,3.0,0.4473435547017652,0,-10.0,-42.75383301316194,42.75383301316194,10.0,Bundesliga
2022,1,3.6,0.3567566413877288,0,-10.0,-27.33883740344458,27.33883740344458,10.0,Bundesliga
2022,X,5.0,0.22905193136160304,0,-10.0,-9.078728550500944,9.078728550500944,10.0,Bundesliga
2022,X,6.5,0.2064897031797305,0,-10.0,-15.55377593946583,15.55377593946583,10.0,Bundesliga
2022,X,4.0,0.2672197736079705,0,-10.0,-5.739924535990167,5.739924535990167,10.0,Bundesliga
2022,2,3.25,0.3662263133297608,0,-10.0,-21.13727981352473,21.13727981352473,10.0,Bundesliga
2022,1,5.5,0.2724327324247791,0,-10.0,-27.68777935201584,27.68777935201584,10.0,Bundesliga
2022,X,5.0,0.23127314808187985,0,-10.0,-9.772858775587451,9.772858775587451,10.0,Bundesliga
2022,X,4.2,0.2544356843453835,1,32.0,17.157468562652657,5.361708925828955,10.0,Bundesliga
2022,X,4.33,0.3634349767568126,1,33.3,143.41836233924957,43.068577279053926,10.0,Bundesliga
2022,1,4.33,0.4768537265531266,1,33.3,166.5,50.0,10.0,Bundesliga
2022,2,3.4,0.31818606690463175,0,-10.0,-8.524232028723743,8.524232028723743,10.0,Bundesliga
2022,X,4.2,0.25301976779369434,0,-10.0,-4.89711130730595,4.89711130730595,10.0,Bundesliga
2022,X,6.5,0.1923243815923953,0,-10.0,-11.368567288662241,11.368567288662241,10.0,Bundesliga
2022,2,3.8,0.3668506808176295,0,-10.0,-35.18148099169572,35.18148099169572,10.0,Bundesliga
2022,1,4.0,0.42308584921144027,0,-10.0,-50.0,50.0,10.0,Bundesliga
